date,covered_holdings,requested_holdings,mom_12_1,mom_6_1,rev_1m,beta_spy_252,vol_63,liq_dollarvol_21
2025-06-27,4,4,0.3627105875429642,0.2556142544875486,0.0622557346530933,0.357175339051881,-0.2306416743942178,0.3950954784477064
2025-06-30,4,4,0.3601966381932284,0.23551433376643016,-0.08586887678570734,0.3589346593412862,-0.22042631576160743,0.40553703199913715
2025-07-01,4,4,0.35052878493668715,0.26121148215791434,0.014136980025368145,0.3591219758401422,-0.2240508070966106,0.40526704751928627
2025-07-02,4,4,0.3048940105554945,0.2446014664505671,-0.3816969363373432,0.3607142104458334,-0.22672345175746084,0.4197711683699376
2025-07-03,4,4,0.3461314200115108,0.28883118581394895,-0.2188983833763664,0.36062420699226394,-0.2252484191311075,0.42623107885115336
2025-07-07,4,4,0.30539411348653367,0.250364043617032,-0.29593424823196396,0.3610048206361104,-0.22937026926898552,0.43197119205346923
2025-07-08,4,4,0.3041332338284467,0.26886659239784294,-0.16583309288229559,0.36047621756489245,-0.2589464246349705,0.4381354505539192
2025-07-09,4,4,0.2660809914848682,0.25383088765667783,-0.40277484182679746,0.3617845180887839,-0.26884318734173696,0.4441730841573584
2025-07-10,4,4,0.25546088577980197,0.21512988213062786,-0.5249783028939913,0.3618989369719486,-0.27693540110334386,0.4441889012558069
2025-07-11,4,4,0.2624670602475952,0.16085886123191723,-0.57695755941115,0.36249899815854203,-0.45939672975981705,0.44504337210200184
2025-07-14,4,4,0.2272871538592199,0.1870222183373923,-0.6040074153624456,0.36124861872291375,-0.42704573885468855,0.44459870263318035
2025-07-15,4,4,0.28926577209760307,0.19573344825423766,-0.5512022969967554,0.3607088647296337,-0.43343632744276356,0.44318787337965737
2025-07-16,4,4,0.21146154846310466,0.22425227932726394,-0.641630688606323,0.3599491475152887,-0.4354948038454335,0.443452466223506
2025-07-17,4,4,0.14885401572396462,0.24300434930516032,-0.7071664946739298,0.3605409638648417,-0.42997121081615575,0.44833901800911746
2025-07-18,4,4,0.08358156013965334,0.20254009321763256,-0.7143511484270242,0.36053762025588987,-0.4784939355337329,0.45292243943015664
2025-07-21,4,4,0.12022844953545403,0.23622755132510345,-0.5572905410259078,0.36288823345021964,-0.5238100001341139,0.4503755346458149
2025-07-22,4,4,0.13957333123278517,0.2842419173330377,-0.36971130868697794,0.36006055325086894,-0.528301752863738,0.4458065756703461
2025-07-23,4,4,0.14161921860249554,0.2869415311068494,-0.2595477880991989,0.35950883229263214,-0.5226020701181412,0.44226511046374867
2025-07-24,4,4,0.19765975709278796,0.28677007553501377,-0.28737055811051415,0.3599470039013284,-0.5143103548161722,0.4263925704891899
2025-07-25,4,4,0.2427976050918075,0.2951352306664258,-0.27097605431338134,0.3602781020348207,-0.5215646322397844,0.4252722143646812
2025-07-28,4,4,0.2437140812773346,0.22636234875572933,-0.3540190745510787,0.3626411652141592,-0.525108487494627,0.42036214432285146
2025-07-29,4,4,0.20823673711212154,0.20932504137623043,-0.44594152071715754,0.3619872320404678,-0.528356632546595,0.4216805043897939
2025-07-30,4,4,0.2507968998835024,0.25021832628217133,-0.3158000910172101,0.36234876033281327,-0.5273257408433185,0.4075290549116628
2025-07-31,4,4,0.2783523822862092,0.2324016268573501,-0.2914222627451432,0.36383454617177213,-0.5548330542246217,0.39646779421270717
2025-08-01,4,4,0.2939266846385171,0.28729008135594003,-0.32371929262546234,0.355372220974446,-0.6493131479579817,0.385200892074683
2025-08-04,4,4,0.26010537518916255,0.29428205158607434,-0.3224153127062884,0.36289681834204723,-0.6705725416028264,0.38148641299916813
2025-08-05,4,4,0.2511711379021914,0.2997429164102132,-0.2986515846897792,0.3571676264053205,-0.6630032037256296,0.37370255858819174
2025-08-06,4,4,0.2122161511712636,0.3281957333881231,-0.3537167506491739,0.3664509242953484,-0.6406036667395145,0.38329112882543065
2025-08-07,4,4,0.25352748002576486,0.32700868421418555,-0.42127241906672436,0.3636348086995495,-0.5886107216179653,0.39102597313798687
2025-08-08,4,4,0.22856567618822674,0.3653198629763934,-0.42667397964692166,0.36547160164802217,-0.5705085723347076,0.401218450755908
2025-08-11,4,4,0.2141798838838011,0.3758057530861304,-0.46736033380889974,0.36562267250614156,-0.5674847150602842,0.41097795997887177
2025-08-12,4,4,0.18545993931366855,0.33313873061670063,-0.48698889301379544,0.3699855925562417,-0.5554974019514496,0.41334849917907746
2025-08-13,4,4,0.23293198068723678,0.4085544132096244,-0.3929080545660301,0.3694113588773875,-0.6150497848921932,0.41629537029271574
2025-08-14,4,4,0.2219381401874564,0.44510840868785184,-0.3089550638319343,0.3696060378032817,-0.6172022093256532,0.41125990060254963
2025-08-15,4,4,0.2251160859028953,0.44641549120164764,0.08612635997658974,0.3705553629536849,-0.5982725032937253,0.39420409728919237
2025-08-18,4,4,0.23303777399262562,0.46893341934236,0.2042967384759804,0.3698225635046969,-0.6066870129785571,0.38275014329222407
2025-08-19,4,4,0.19876855875015573,0.4668873850343559,0.08228293713631979,0.3726252266072834,-0.6124709309844436,0.3829228110552919
2025-08-20,4,4,0.2231971294537378,0.47260585007899014,0.0381328231604775,0.3723778120627972,-0.6050994316254341,0.38897619759933316
2025-08-21,4,4,0.22711257151726036,0.5095551747992453,0.03177265651790481,0.37306969322068967,-0.6185560121457412,0.39248731902803574
2025-08-22,4,4,0.22160021557265,0.4553632887022867,0.3107223554664309,0.3676971042299553,-0.6386460827560998,0.40554585826758033
2025-08-25,4,4,0.23303967950660928,0.4840325107371735,0.3732235478868278,0.3686361942798281,-0.6548794763224158,0.41019665865991023
2025-08-26,4,4,0.22689650641942097,0.4999415225365835,0.21434886139380713,0.3690104897480614,-0.663862279677295,0.42134742616482224
2025-08-27,4,4,0.23779549049887,0.48235920497670465,0.24398011570926392,0.3683236123550147,-0.6616081001773227,0.4324053882954391
2025-08-28,4,4,0.25137062030685037,0.44671911485266413,0.2860266582073653,0.3681067650764358,-0.6704044635590731,0.4385213489618957
2025-08-29,4,4,0.21060856342059955,0.42234878979120405,0.24317287422107206,0.3679208617916187,-0.6677777980845265,0.4478469887052093
2025-09-02,4,4,0.2579596568671315,0.5136787190781071,0.35354687613151814,0.3683757631888462,-0.6559256701586936,0.45304639912253497
2025-09-03,4,4,0.2669593948073102,0.5234800977229822,0.348754294089952,0.3678414724033192,-0.7293818386948658,0.44773063813470615
2025-09-04,4,4,0.3127229479941346,0.5492084255053773,0.3567532733777576,0.36729653331750894,-0.734906934934795,0.44409451837153113
2025-09-05,4,4,0.2833538151435687,0.5766890605368677,0.4592528172798244,0.36556611249334386,-0.7419976972335387,0.44154861933360834
2025-09-08,4,4,0.31312528280405993,0.5628172197964106,0.5552189038182955,0.365398587547313,-0.7249653810045866,0.4285772702331417
2025-09-09,4,4,0.3327959808720028,0.5738974871112311,0.6335069126254218,0.36375513849654484,-0.6980842321848467,0.40481075146679485
2025-09-10,4,4,0.3387621696946467,0.5816685613347233,0.6353812384799102,0.3710794443331971,-0.6775225926616346,0.3972247784596973
2025-09-11,4,4,0.3466439277376697,0.6022233267803595,0.5992764185257744,0.37241383560177327,-0.6718293730690892,0.3958225438481882
2025-09-12,4,4,0.3441229068427648,0.5843338871461424,0.552901130491195,0.3723632046772121,-0.6678236928516338,0.3938005942574895
2025-09-15,4,4,0.31200795193496766,0.5408325650352485,0.5409716550759044,0.3702517546269316,-0.6800599604647468,0.39092361819750154
2025-09-16,4,4,0.2754047338954789,0.5233304618846805,0.5588312560521895,0.3741035636828539,-0.681161907901822,0.4108642653592247
2025-09-17,4,4,0.25997433827063315,0.5227600335084059,0.5402623911688677,0.3739299575457183,-0.6777082282864482,0.4205492205934709
2025-09-18,4,4,0.273655546200409,0.5056379932735471,0.5324958202250905,0.374032218289007,-0.6653242670051785,0.42328303650399796
2025-09-19,4,4,0.2530231312300527,0.4774093104127786,0.37561195001964454,0.3763332359369386,-0.6337958497072143,0.4484157458584802
